name,lower,upper,plus
The Black Angels,10.0,10.0,0
The Bodeen,10.0,10.0,0
The Bravery,30.0,40.0,0
The Cab,7.5,12.5,0
The Civil Wars,85.0,100.0,1
The Connells,7.5,12.5,0
The Cool Kids,12.5,20.0,0
The Crickets,10.0,20.0,0
The Crystal Method,10.0,15.0,0
The Dandy Warhols,40.0,50.0,0
The Daylights,3.0,10.0,0
The Dear Hunter,10.0,15.0,0
The Dream,40.0,75.0,0
The English Beat,5.0,10.0,0
The Fenn,10.0,15.0,0
The Flaming Lips,100.0,125.0,0
The Fratellis,15.0,25.0,0
The Fray,150.0,200.0,1
The Game,30.0,50.0,1
The Gay Blades,3.0,5.0,0
